title,image_url,price,link
Skylar Cropped Eyelet Tank,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MW922-726S07100PF_01_533x.jpg?v=1691798697,$18,https://us.brandymelville.com/products/skylar-cropped-eyelet-tank
Radio Silence Coin Purse,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU712B33BT9700_01_533x.jpg?v=1690666789,$8,https://us.brandymelville.com/products/radio-silence-coin-purse
Beyonca Eyelet Tank,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MCH570HL-1101S1620000-0_533x.jpg?v=1691798626,$16,https://us.brandymelville.com/products/beyonca-eyelet-tank
Eyelet Scrunchie,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MU65002D0000_0_533x.jpg?v=1691798717,$3,https://us.brandymelville.com/products/eyelet-scrunchie-2
Grace V-Neck Sweater,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MNJ224-Z096S1620000_0_533x.jpg?v=1691030675,$38,https://us.brandymelville.com/products/grace-v-neck-sweater
Boy Short Underwear,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MY122P-622PSS660000_01_533x.jpg?v=1691942059,$15,https://us.brandymelville.com/products/boy-short-underwear
Polina Striped Bra Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MB228-58SG1200B11-0_533x.jpg?v=1691942064,$18,https://us.brandymelville.com/products/polina-striped-bra-top-1
McKenna Ribbed Lace Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/products/0-2_4ea05e4e-679f-4014-b325-90fd0365766d_533x.jpg?v=1644876802,$22,https://us.brandymelville.com/products/long-sleeve-6
Skylar Tank,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MW922-8017S16200B38_0_533x.jpg?v=1692201505,$16,https://us.brandymelville.com/products/skylar-tank-2
Emery Sweatshorts,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MJB050T-8002S0150000-0_533x.jpg?v=1692201913,$18,https://us.brandymelville.com/products/emery-sweatshorts
Ashlyn Striped Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MD034-166SJ5000B22_00_533x.jpg?v=1692202653,$20,https://us.brandymelville.com/products/ashlyn-striped-top-1
Tori Basic Long Sleeve Top,https://cdn.shopify.com/s/files/1/0455/9827/7796/files/MJ007CE-482PTS1620000_0_533x.jpg?v=1692202992,$20,https://us.brandymelville.com/products/tori-basic-long-sleeve-top-2
